pin,topic,photographer,pexels_photo_id,source_page,license
P01,Small bedroom gaming setup,Minh Phuc,19931378,https://www.pexels.com/photo/a-computer-in-a-room-19931378/,Pexels License
P02,Small gaming room rules,Maurício Mascaro,6489045,https://www.pexels.com/photo/desktop-computer-with-speakers-and-gaming-chair-in-a-room-with-blue-light-6489045/,Pexels License
P03,Budget gaming desk,Minh Phuc,20213722,https://www.pexels.com/photo/monitor-on-a-desk-20213722/,Pexels License
P04,Budget upgrade order,Minh Phuc,20648391,https://www.pexels.com/photo/gaming-monitor-on-desk-20648391/,Pexels License
P05,Cable management,Minh Phuc,20213730,https://www.pexels.com/photo/accessory-under-a-desk-20213730/,Pexels License
P06,Cable organizers,Minh Phuc,19197878,https://www.pexels.com/photo/gaming-accessories-by-desk-19197878/,Pexels License
P07,Cheap desk upgrades,Matheus Bertelli,32755766,https://www.pexels.com/photo/vibrant-gaming-setup-with-controller-and-headset-32755766/,Pexels License
P08,Low-cost desk upgrades,Atahan Demir,30469973,https://www.pexels.com/photo/modern-gaming-desk-setup-with-rgb-lighting-30469973/,Pexels License
P09,Dark gaming setup,The masked Guy,7720712,https://www.pexels.com/photo/computer-setup-in-dark-room-7720712/,Pexels License
P10,Gaming plus work desk,Pramod Tiwari,17330220,https://www.pexels.com/photo/a-desk-with-two-computer-monitors-and-a-keyboard-17330220/,Pexels License
